omega_m,lane,quantum_model,amplitude,stable,refinement_l2,max_correction_ratio,turning_points,blowup_near_turning,final_a,passes_refinement_gate,passes_ratio_gate
0.3,alpha_qg,n/a,2e-06,True,7.859214596924233e-08,1.231798098344553,0,False,0.6078329942176849,True,False
0.3,bohmian_q,off,2e-06,True,8.249748378916841e-08,0.0,1,False,0.5493950712028609,True,True
0.3,bohmian_q,gaussian,2e-06,True,8.250086153609988e-08,2.481863620647497e-05,1,False,0.5493415251028545,True,True
0.3,bohmian_q,plateau,2e-06,True,8.250139820619152e-08,2.5265156986347203e-05,1,False,0.5493333949959929,True,True
0.3,bohmian_q,unified_dmde_proxy,2e-06,True,8.250123655078557e-08,2.513120752275078e-05,1,False,0.5493358340372557,True,True
0.3025,alpha_qg,n/a,3e-07,True,9.102069160424446e-08,0.0019926934573231483,1,False,0.423312632884789,True,True
0.3025,bohmian_q,off,3e-07,True,9.186526070432943e-08,0.0,1,False,0.41239252243491015,True,True
0.3025,bohmian_q,gaussian,3e-07,True,9.18659709076454e-08,1.7702859753685367e-06,1,False,0.4123827661186841,True,True
0.3025,bohmian_q,plateau,3e-07,True,9.186607907565003e-08,1.819883591556884e-06,1,False,0.4123812757636456,True,True
0.3025,bohmian_q,unified_dmde_proxy,3e-07,True,9.186604131224488e-08,1.8049177327323612e-06,1,False,0.41238172547217233,True,True
0.3025,alpha_qg,n/a,3.5646923109036204e-07,True,9.08635654656507e-08,0.002367779681769259,1,False,0.42536238272033344,True,True
0.3025,bohmian_q,off,3.5646923109036204e-07,True,9.186526070432943e-08,0.0,1,False,0.41239252243491015,True,True
0.3025,bohmian_q,gaussian,3.5646923109036204e-07,True,9.186610016338211e-08,2.103499942463774e-06,1,False,0.41238092966276657,True,True
0.3025,bohmian_q,plateau,3.5646923109036204e-07,True,9.186623808515957e-08,2.16243200291219e-06,1,False,0.4123791587712468,True,True
0.3025,bohmian_q,unified_dmde_proxy,3.5646923109036204e-07,True,9.186619456231303e-08,2.1446495184964384e-06,1,False,0.4123796931306143,True,True
0.3025,alpha_qg,n/a,4.2356770904717955e-07,True,9.067800820905037e-08,0.0028134686751722315,1,False,0.42778919212945893,True,True
0.3025,bohmian_q,off,4.2356770904717955e-07,True,9.186526070432943e-08,0.0,1,False,0.41239252243491015,True,True
0.3025,bohmian_q,gaussian,4.2356770904717955e-07,True,9.186625344412637e-08,2.49943160206964e-06,1,False,0.41237874752232795,True,True
0.3025,bohmian_q,plateau,4.2356770904717955e-07,True,9.186642416427344e-08,2.569454579058701e-06,1,False,0.41237664328637474,True,True
0.3025,bohmian_q,unified_dmde_proxy,4.2356770904717955e-07,True,9.186637098963586e-08,2.548325462123081e-06,1,False,0.41237727823119,True,True
0.3025,alpha_qg,n/a,5.032961851958474e-07,True,9.045913735028081e-08,0.0033430500511182158,1,False,0.4306605818559098,True,True
0.3025,bohmian_q,off,5.032961851958474e-07,True,9.186526070432943e-08,0.0,1,False,0.41239252243491015,True,True
0.3025,bohmian_q,gaussian,5.032961851958474e-07,True,9.186645188497481e-08,2.9698849413703186e-06,1,False,0.4123761546259661,True,True
0.3025,bohmian_q,plateau,5.032961851958474e-07,True,9.186664051564376e-08,3.0530856997671577e-06,1,False,0.4123736542967038,True,True
0.3025,bohmian_q,unified_dmde_proxy,5.032961851958474e-07,True,9.186658462802928e-08,3.0279802492388746e-06,1,False,0.4123744087612409,True,True
0.3025,alpha_qg,n/a,5.980320138249203e-07,True,9.020127924172626e-08,0.003972314937395684,1,False,0.4340554600155697,True,True
0.3025,bohmian_q,off,5.980320138249203e-07,True,9.186526070432943e-08,0.0,1,False,0.41239252243491015,True,True
0.3025,bohmian_q,gaussian,5.980320138249203e-07,True,9.186667046647824e-08,3.528885239446599e-06,1,False,0.41237307365284814,True,True
0.3025,bohmian_q,plateau,5.980320138249203e-07,True,9.186689867475113e-08,3.6277431322219262e-06,1,False,0.4123701026684204,True,True
0.3025,bohmian_q,unified_dmde_proxy,5.980320138249203e-07,True,9.18668287976388e-08,3.5979132159880505e-06,1,False,0.41237099915156555,True,True
0.3025,alpha_qg,n/a,7.106000404519682e-07,True,8.989793261344075e-08,0.004720026837940671,1,False,0.4380657832065329,True,True
0.3025,bohmian_q,off,7.106000404519682e-07,True,9.186526070432943e-08,0.0,1,False,0.41239252243491015,True,True
0.3025,bohmian_q,gaussian,7.106000404519682e-07,True,9.186694399632252e-08,4.193096943188824e-06,1,False,0.4123694127259666,True,True
0.3025,bohmian_q,plateau,7.106000404519682e-07,True,9.186719923793016e-08,4.310557556303061e-06,1,False,0.41236588248804906,True,True
0.3025,bohmian_q,unified_dmde_proxy,7.106000404519682e-07,True,9.186711975446901e-08,4.275114359230724e-06,1,False,0.41236694772413773,True,True
0.3025,alpha_qg,n/a,8.443568334423105e-07,True,8.954167253385871e-08,0.005608481125488611,1,False,0.44279836861705313,True,True
0.3025,bohmian_q,off,8.443568334423105e-07,True,9.186526070432943e-08,0.0,1,False,0.41239252243491015,True,True
0.3025,bohmian_q,gaussian,8.443568334423105e-07,True,9.1867256610969e-08,4.9823201016692455e-06,1,False,0.4123650626722236,True,True
0.3025,bohmian_q,plateau,8.443568334423105e-07,True,9.186756622021018e-08,5.12188282505615e-06,1,False,0.41236086790259385,True,True
0.3025,bohmian_q,unified_dmde_proxy,8.443568334423105e-07,True,9.1867477742467e-08,5.079770425138649e-06,1,False,0.4123621336591375,True,True
0.3025,alpha_qg,n/a,1.0032907706102438e-06,True,8.912406189099787e-08,0.006664169847959108,1,False,0.4483768395952709,True,True
0.3025,bohmian_q,off,1.0032907706102438e-06,True,9.186526070432943e-08,0.0,1,False,0.41239252243491015,True,True
0.3025,bohmian_q,gaussian,1.0032907706102438e-06,True,9.186762570275104e-08,5.920080105452662e-06,1,False,0.4123598937651685,True,True
0.3025,bohmian_q,plateau,1.0032907706102438e-06,True,9.186800522596354e-08,6.085902109992118e-06,1,False,0.41235490936522884,True,True
0.3025,bohmian_q,unified_dmde_proxy,1.0032907706102438e-06,True,9.186789242072197e-08,6.035866104185622e-06,1,False,0.41235641339059903,True,True
0.3025,alpha_qg,n/a,1.1921409651983008e-06,True,8.863559436283668e-08,0.007918571671858525,1,False,0.4549436752929811,True,True
0.3025,bohmian_q,off,1.1921409651983008e-06,True,9.186526070432943e-08,0.0,1,False,0.41239252243491015,True,True
0.3025,bohmian_q,gaussian,1.1921409651983008e-06,True,9.186807461994659e-08,7.034328236383595e-06,1,False,0.41235375185523154,True,True
0.3025,bohmian_q,plateau,1.1921409651983008e-06,True,9.186853157971535e-08,7.231347913034601e-06,1,False,0.41234782917345664,True,True
0.3025,bohmian_q,unified_dmde_proxy,1.1921409651983008e-06,True,9.186837769500108e-08,7.171898170649287e-06,1,False,0.4123496163231534,True,True
0.3025,alpha_qg,n/a,1.4165385773852007e-06,True,8.806565727358642e-08,0.009409090517337767,1,False,0.46266232172944755,True,True
0.3025,bohmian_q,off,1.4165385773852007e-06,True,9.186526070432943e-08,0.0,1,False,0.41239252243491015,True,True
0.3025,bohmian_q,gaussian,1.4165385773852007e-06,True,9.186861078332919e-08,8.358273804833493e-06,1,False,0.4123464537704627,True,True
0.3025,bohmian_q,plateau,1.4165385773852007e-06,True,9.186913964721837e-08,8.592357284245404e-06,1,False,0.4123394161668562,True,True
0.3025,bohmian_q,unified_dmde_proxy,1.4165385773852007e-06,True,9.18689770743678e-08,8.52172373615147e-06,1,False,0.41234153974187965,True,True
0.3025,alpha_qg,n/a,1.6831747249677917e-06,True,8.740249742064669e-08,0.011180170873250028,1,False,0.47171930818176844,True,True
0.3025,bohmian_q,off,1.6831747249677917e-06,True,9.186526070432943e-08,0.0,1,False,0.41239252243491015,True,True
0.3025,bohmian_q,gaussian,1.6831747249677917e-06,True,9.18692387851161e-08,9.931372528967e-06,1,False,0.4123377818509006,True,True
0.3025,bohmian_q,plateau,1.6831747249677917e-06,True,9.186986998874332e-08,1.0209487562416186e-05,1,False,0.41232941942547385,True,True
0.3025,bohmian_q,unified_dmde_proxy,1.6831747249677917e-06,True,9.186968016106704e-08,1.0125567734445275e-05,1,False,0.4123319427632751,True,True
0.3025,alpha_qg,n/a,2e-06,True,8.663325972378025e-08,0.013284623048820986,1,False,0.4823263011471763,True,True
0.3025,bohmian_q,off,2e-06,True,9.186526070432943e-08,0.0,1,False,0.41239252243491015,True,True
0.3025,bohmian_q,gaussian,2e-06,True,9.186998561767715e-08,1.1800500404309209e-05,1,False,0.41232747745296117,True,True
0.3025,bohmian_q,plateau,2e-06,True,9.18707398942504e-08,1.2130922666443227e-05,1,False,0.41231754078059246,True,True
0.3025,bohmian_q,unified_dmde_proxy,2e-06,True,9.187051160841571e-08,1.2031219430142961e-05,1,False,0.41232053914571404,True,True
0.305,alpha_qg,n/a,3e-07,True,1.0628599788202324e-07,0.001976284584980237,1,False,0.24880529932759668,True,True
0.305,bohmian_q,off,3e-07,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,3e-07,True,1.0828125333811898e-07,1.3752858966620633e-06,1,False,0.2331277840011308,True,True
0.305,bohmian_q,plateau,3e-07,True,1.0828150993672524e-07,1.4234697538342841e-06,1,False,0.23312561486659503,True,True
0.305,bohmian_q,unified_dmde_proxy,3e-07,True,1.0828143248345899e-07,1.4088467911278465e-06,1,False,0.233126273162585,True,True
0.305,alpha_qg,n/a,3.5646923109036204e-07,True,1.0593746641993736e-07,0.0023482821547454675,1,False,0.2517047502276431,True,True
0.305,bohmian_q,off,3.5646923109036204e-07,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,3.5646923109036204e-07,True,1.0828158358183122e-07,1.6341536959616772e-06,1,False,0.23312513165408819,True,True
0.305,bohmian_q,plateau,3.5646923109036204e-07,True,1.082819219514391e-07,1.6914067120867862e-06,1,False,0.23312255420175795,True,True
0.305,bohmian_q,unified_dmde_proxy,3.5646923109036204e-07,True,1.0828182935125495e-07,1.6740314171148006e-06,1,False,0.23312333641558172,True,True
0.305,alpha_qg,n/a,4.2356770904717955e-07,True,1.0553378624040906e-07,0.002790301113617783,1,False,0.2551225222961447,True,True
0.305,bohmian_q,off,4.2356770904717955e-07,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,4.2356770904717955e-07,True,1.0828199033141524e-07,1.941747011249806e-06,1,False,0.23312198002941914,True,True
0.305,bohmian_q,plateau,4.2356770904717955e-07,True,1.082824000503193e-07,2.0097760646208605e-06,1,False,0.2331189173930862,True,True
0.305,bohmian_q,unified_dmde_proxy,4.2356770904717955e-07,True,1.0828226436934228e-07,1.9891304293602294e-06,1,False,0.23311984685262602,True,True
0.305,alpha_qg,n/a,5.032961851958474e-07,True,1.0506794566937314e-07,0.0033155216416063727,1,False,0.2591459906346276,True,True
0.305,bohmian_q,off,5.032961851958474e-07,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,5.032961851958474e-07,True,1.0828247504507543e-07,2.3072369199521077e-06,1,False,0.23311823513754532,True,True
0.305,bohmian_q,plateau,5.032961851958474e-07,True,1.0828293727345348e-07,2.388070086716235e-06,1,False,0.23311459597935158,True,True
0.305,bohmian_q,unified_dmde_proxy,5.032961851958474e-07,True,1.0828280669410854e-07,2.363538625112369e-06,1,False,0.2331157004043077,True,True
0.305,alpha_qg,n/a,5.980320138249203e-07,True,1.0453248812498467e-07,0.00393960483415626,1,False,0.2638754360711977,True,True
0.305,bohmian_q,off,5.980320138249203e-07,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,5.980320138249203e-07,True,1.0828304588019357e-07,2.741520546172925e-06,1,False,0.23311378529344037,True,True
0.305,bohmian_q,plateau,5.980320138249203e-07,True,1.0828364164474123e-07,2.8375675229275463e-06,1,False,0.23310946107766045,True,True
0.305,bohmian_q,unified_dmde_proxy,5.980320138249203e-07,True,1.0828345277673549e-07,2.8084189336579447e-06,1,False,0.2331107734073048,True,True
0.305,alpha_qg,n/a,7.106000404519682e-07,True,1.0391963225499112e-07,0.004681159686771858,1,False,0.26942537716853987,True,True
0.305,bohmian_q,off,7.106000404519682e-07,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,7.106000404519682e-07,True,1.0828374237999132e-07,3.257545860117688e-06,1,False,0.23310849778332265,True,True
0.305,bohmian_q,plateau,7.106000404519682e-07,True,1.082844089190531e-07,3.371669744778563e-06,1,False,0.23310335953812691,True,True
0.305,bohmian_q,unified_dmde_proxy,7.106000404519682e-07,True,1.0828420772811352e-07,3.3370351269643522e-06,1,False,0.23310491891368446,True,True
0.305,alpha_qg,n/a,8.443568334423105e-07,True,1.0322128116071415e-07,0.0055622979805158785,1,False,0.2759258811307682,True,True
0.305,bohmian_q,off,8.443568334423105e-07,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,8.443568334423105e-07,True,1.0828456731706612e-07,3.870697575360487e-06,1,False,0.23310221490445054,True,True
0.305,bohmian_q,plateau,8.443568334423105e-07,True,1.08285381732837e-07,4.006300138044347e-06,1,False,0.23309610937184366,True,True
0.305,bohmian_q,unified_dmde_proxy,8.443568334423105e-07,True,1.0828512546099666e-07,3.96514711296103e-06,1,False,0.23309796230552338,True,True
0.305,alpha_qg,n/a,1.0032907706102438e-06,True,1.0242904987082914e-07,0.006609293614033226,1,False,0.28352381389741477,True,True
0.305,bohmian_q,off,1.0032907706102438e-06,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,1.0032907706102438e-06,True,1.0828555607850701e-07,4.599255628222443e-06,1,False,0.23309474925808363,True,True
0.305,bohmian_q,plateau,1.0032907706102438e-06,True,1.0828646458504559e-07,4.760378602593443e-06,1,False,0.2330874943188696,True,True
0.305,bohmian_q,unified_dmde_proxy,1.0032907706102438e-06,True,1.0828620165915427e-07,4.711480573421394e-06,1,False,0.23308969608186056,True,True
0.305,alpha_qg,n/a,1.1921409651983008e-06,True,1.0153437949472791e-07,0.007853366042149543,1,False,0.2923839909277686,True,True
0.305,bohmian_q,off,1.1921409651983008e-06,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,1.1921409651983008e-06,True,1.0828669765573373e-07,5.46493987853862e-06,1,False,0.23308587815476908,True,True
0.305,bohmian_q,plateau,1.1921409651983008e-06,True,1.0828781791434823e-07,5.656385276749314e-06,1,False,0.23307725739040058,True,True
0.305,bohmian_q,unified_dmde_proxy,1.1921409651983008e-06,True,1.0828746499575757e-07,5.598284914960352e-06,1,False,0.23307987366377236,True,True
0.305,alpha_qg,n/a,1.4165385773852007e-06,True,1.0052843997417528e-07,0.009331611181720689,1,False,0.3026901972501974,True,True
0.305,bohmian_q,off,1.4165385773852007e-06,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,1.4165385773852007e-06,True,1.0828804118109486e-07,6.49355722899317e-06,1,False,0.23307533696482577,True,True
0.305,bohmian_q,plateau,1.4165385773852007e-06,True,1.0828939209969096e-07,6.721030243526407e-06,1,False,0.2330650931933003,True,True
0.305,bohmian_q,unified_dmde_proxy,1.4165385773852007e-06,True,1.0828896564766834e-07,6.65199612048682e-06,1,False,0.23306820203001852,True,True
0.305,alpha_qg,n/a,1.6831747249677917e-06,True,9.940194006730923e-08,0.011088107542607323,1,False,0.31464605904041343,True,True
0.305,bohmian_q,off,1.6831747249677917e-06,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,1.6831747249677917e-06,True,1.0828967180472974e-07,7.71577039569357e-06,1,False,0.23306281121462302,True,True
0.305,bohmian_q,plateau,1.6831747249677917e-06,True,1.0829128692450096e-07,7.986049114925998e-06,1,False,0.2330506388066392,True,True
0.305,bohmian_q,unified_dmde_proxy,1.6831747249677917e-06,True,1.0829079240290526e-07,7.904024195926195e-06,1,False,0.23305433296339895,True,True
0.305,alpha_qg,n/a,2e-06,True,9.814508271254114e-08,0.01317523056653491,1,False,0.3284757688740952,True,True
0.305,bohmian_q,off,2e-06,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,2e-06,True,1.0829162121712808e-07,9.16801116403462e-06,1,False,0.23304792719050882,True,True
0.305,bohmian_q,plateau,2e-06,True,1.0829350844516945e-07,9.489148113779208e-06,1,False,0.2330334629346935,True,True
0.305,bohmian_q,unified_dmde_proxy,2e-06,True,1.0829292277598562e-07,9.391688593332226e-06,1,False,0.23303785264501178,True,True
0.3075,alpha_qg,n/a,3e-07,True,0.0006981295749280782,3.887098080295273,2,False,0.11857830906453995,False,False
0.3075,bohmian_q,off,3e-07,False,2.813902052921024e-05,0.0,2,False,1e-06,False,True
0.3075,bohmian_q,gaussian,3e-07,False,2.0953583802842238e-05,1.1806408497230771e-06,2,False,1e-06,False,True
0.3075,bohmian_q,plateau,3e-07,False,1.9806509224943547e-05,1.2290460533467394e-06,2,False,1e-06,False,True
0.3075,bohmian_q,unified_dmde_proxy,3e-07,False,2.0157379575116096e-05,1.2142722541881858e-06,2,False,1e-06,False,True
0.3075,alpha_qg,n/a,3.5646923109036204e-07,True,0.00043459332426431456,3.8025903912166106,2,False,0.11582938408849634,False,False
0.3075,bohmian_q,off,3.5646923109036204e-07,False,2.813902052921024e-05,0.0,2,False,1e-06,False,True
0.3075,bohmian_q,gaussian,3.5646923109036204e-07,False,1.956517367683615e-05,1.4028719273598353e-06,2,False,1e-06,False,True
0.3075,bohmian_q,plateau,3.5646923109036204e-07,False,1.819138517025652e-05,1.4603881955214202e-06,2,False,1e-06,False,True
0.3075,bohmian_q,unified_dmde_proxy,3.5646923109036204e-07,False,1.8611663158262975e-05,1.4428335989525191e-06,2,False,1e-06,False,True
0.3075,alpha_qg,n/a,4.2356770904717955e-07,True,0.00023216910161609727,3.7552924261030505,2,False,0.11198640110121344,False,False
0.3075,bohmian_q,off,4.2356770904717955e-07,False,2.813902052921024e-05,0.0,2,False,1e-06,False,True
0.3075,bohmian_q,gaussian,4.2356770904717955e-07,False,1.790229462756845e-05,1.666932966242834e-06,2,False,1e-06,False,True
0.3075,bohmian_q,plateau,4.2356770904717955e-07,False,1.6256857608923294e-05,1.7352751645703776e-06,2,False,1e-06,False,True
0.3075,bohmian_q,unified_dmde_proxy,4.2356770904717955e-07,False,1.6760149579673343e-05,1.7144163744508968e-06,2,False,1e-06,False,True
0.3075,alpha_qg,n/a,5.032961851958474e-07,True,0.00012360067605552539,3.874178299883139,2,False,0.10666389159227158,False,False
0.3075,bohmian_q,off,5.032961851958474e-07,False,2.813902052921024e-05,0.0,2,False,1e-06,False,True
0.3075,bohmian_q,gaussian,5.032961851958474e-07,False,1.591075919863311e-05,1.9806973368253765e-06,2,False,1e-06,False,True
0.3075,bohmian_q,plateau,5.032961851958474e-07,False,1.3943730310383247e-05,2.0619030732077074e-06,2,False,1e-06,False,True
0.3075,bohmian_q,unified_dmde_proxy,5.032961851958474e-07,False,1.454467710941153e-05,2.037118188759538e-06,2,False,1e-06,False,True
0.3075,alpha_qg,n/a,5.980320138249203e-07,True,6.336091443503554e-05,3.833215066128632,2,False,0.09970938281412163,False,False
0.3075,bohmian_q,off,5.980320138249203e-07,False,2.813902052921024e-05,0.0,2,False,1e-06,False,True
0.3075,bohmian_q,gaussian,5.980320138249203e-07,False,1.3531012425805684e-05,2.353520290249603e-06,2,False,1e-06,False,True
0.3075,bohmian_q,plateau,5.980320138249203e-07,False,1.1199426241235308e-05,2.4500106450011297e-06,2,False,1e-06,False,True
0.3075,bohmian_q,unified_dmde_proxy,5.980320138249203e-07,False,1.1908396281240814e-05,2.4205607252262445e-06,2,False,1e-06,False,True
0.3075,alpha_qg,n/a,7.106000404519682e-07,True,3.047762164455048e-05,3.7619320825632383,2,False,0.09071848719019893,False,False
0.3075,bohmian_q,off,7.106000404519682e-07,False,2.813902052921024e-05,0.0,2,False,1e-06,False,True
0.3075,bohmian_q,gaussian,7.106000404519682e-07,False,1.0715021654781118e-05,2.796517840388709e-06,2,False,1e-06,False,True
0.3075,bohmian_q,plateau,7.106000404519682e-07,False,8.048531604227992e-06,2.9111695195215858e-06,2,False,1e-06,False,True
0.3075,bohmian_q,unified_dmde_proxy,7.106000404519682e-07,False,8.841826856372333e-06,2.876176561133434e-06,2,False,1e-06,False,True
0.3075,alpha_qg,n/a,8.443568334423105e-07,True,1.4119505008698352e-05,3.8359432096977772,2,False,0.07896366836582898,False,False
0.3075,bohmian_q,off,8.443568334423105e-07,False,2.813902052921024e-05,0.0,2,False,1e-06,False,True
0.3075,bohmian_q,gaussian,8.443568334423105e-07,False,7.520694665405093e-06,3.322898118035935e-06,2,False,1e-06,False,True
0.3075,bohmian_q,plateau,8.443568334423105e-07,False,5.082926202655387e-06,3.459129176450449e-06,2,False,1e-06,False,True
0.3075,bohmian_q,unified_dmde_proxy,8.443568334423105e-07,False,5.680755760290786e-06,3.4175499500752847e-06,2,False,1e-06,False,True
0.3075,alpha_qg,n/a,1.0032907706102438e-06,True,7.0806846507452685e-06,3.8457829950536357,2,False,0.06310218672279633,False,False
0.3075,bohmian_q,off,1.0032907706102438e-06,False,2.813902052921024e-05,0.0,2,False,1e-06,False,True
0.3075,bohmian_q,gaussian,1.0032907706102438e-06,False,4.793345347306963e-06,3.948355065037685e-06,2,False,1e-06,False,True
0.3075,bohmian_q,plateau,1.0032907706102438e-06,True,5.106990495443244e-06,4.110226749152933e-06,2,False,1e-06,False,True
0.3075,bohmian_q,unified_dmde_proxy,1.0032907706102438e-06,True,4.863826724239178e-06,4.060821715642509e-06,2,False,1e-06,False,True
0.3075,alpha_qg,n/a,1.1921409651983008e-06,True,4.9841423290578955e-06,3.838387414391864,2,False,0.040029431634901344,False,False
0.3075,bohmian_q,off,1.1921409651983008e-06,False,2.813902052921024e-05,0.0,2,False,1e-06,False,True
0.3075,bohmian_q,gaussian,1.1921409651983008e-06,True,5.29508280985513e-06,4.691536189854061e-06,2,False,1e-06,False,True
0.3075,bohmian_q,plateau,1.1921409651983008e-06,True,6.617649636171244e-06,4.883873927138354e-06,2,False,1e-06,False,True
0.3075,bohmian_q,unified_dmde_proxy,1.1921409651983008e-06,True,6.174475821057864e-06,4.825170309955725e-06,2,False,1e-06,False,True
0.3075,alpha_qg,n/a,1.4165385773852007e-06,True,4.7652639268152454e-07,1.3768995565360205,1,False,0.01884407183014456,True,False
0.3075,bohmian_q,off,1.4165385773852007e-06,False,2.813902052921024e-05,0.0,2,False,1e-06,False,True
0.3075,bohmian_q,gaussian,1.4165385773852007e-06,True,6.938212876258282e-06,5.574598307096734e-06,2,False,1e-06,False,True
0.3075,bohmian_q,plateau,1.4165385773852007e-06,True,8.948990664528246e-06,5.803135437060436e-06,2,False,1e-06,False,True
0.3075,bohmian_q,unified_dmde_proxy,1.4165385773852007e-06,True,8.305243561774703e-06,5.733383353603729e-06,2,False,1e-06,False,True
0.3075,alpha_qg,n/a,1.6831747249677917e-06,True,2.3116273329247103e-07,0.055986391347878015,1,False,0.05805944995541536,True,True
0.3075,bohmian_q,off,1.6831747249677917e-06,False,2.813902052921024e-05,0.0,2,False,1e-06,False,True
